calc_R11,calc_R12,calc_R13,calc_01,calc_R21,calc_R22,calc_R23,calc_02,calc_R31,calc_R32,calc_R33,calc_03,calc_TX,calc_TY,calc_TZ,calc_1
0.683923364,-0.209192635,0.698918646,0,0.72874689,0.150844855,-0.667962424,0,0.034304538,0.966169898,0.255614803,0,-10.38670815,-4.897535283,2.031502019,1
0.667953015,-0.207714279,0.714628258,0,0.743846837,0.156619088,-0.649740213,0,0.023035894,0.965569904,0.259121801,0,-10.27894119,-4.927495855,1.834361657,1
0.651452563,-0.206344917,0.730089949,0,0.758597513,0.162183775,-0.631051691,0,0.011805565,0.964944661,0.262187777,0,-10.1676404,-4.955919907,1.640625653,1
0.634433873,-0.205065112,0.745279787,0,0.772976888,0.167530737,-0.611915176,0,0.000625182,0.964303765,0.264797766,0,-10.05288367,-4.982956461,1.450611739,1
0.616913774,-0.203861969,0.760169516,0,0.786960871,0.172653244,-0.592354155,0,-0.010487248,0.963655102,0.266943557,0,-9.934822572,-5.008712452,1.264617146,1
0.598908581,-0.202723242,0.774733373,0,0.800528482,0.177540894,-0.57239268,0,-0.021509556,0.963007019,0.268616494,0,-9.813654646,-5.033282506,1.082933398,1
0.580437649,-0.201637944,0.788945039,0,0.813659159,0.182184412,-0.552057618,0,-0.032417725,0.962367383,0.269811252,0,-9.689610948,-5.056755395,0.905834656,1
0.561519292,-0.200605522,0.802778618,0,0.826335714,0.186584425,-0.531371377,0,-0.043189955,0.961739922,0.270538261,0,-9.562909655,-5.079169524,0.733436833,1
0.542177265,-0.199606322,0.816211449,0,0.838539,0.190743949,-0.510361726,0,-0.053815968,0.961131657,0.270794718,0,-9.433684625,-5.100693656,0.565978739,1
0.522446516,-0.198612494,0.829218134,0,0.850245142,0.194667921,-0.489068092,0,-0.064287137,0.960550612,0.270572886,0,-9.302092578,-5.121552078,0.403798632,1
0.502357806,-0.197593637,0.841779894,0,0.86143619,0.19835914,-0.467526836,0,-0.074594408,0.96000542,0.269861572,0,-9.168296078,-5.141978742,0.247222164,1
0.48194666,-0.196532989,0.853874816,0,0.872094649,0.201826895,-0.445776657,0,-0.084725084,0.959500228,0.268665167,0,-9.032514709,-5.162126594,0.096460011,1
0.461258151,-0.195417498,0.865478434,0,0.88220148,0.205083775,-0.423864594,0,-0.094665026,0.959037354,0.266994168,0,-8.895021708,-5.182126434,-0.048288415,1
