astr_R11,astr_R12,astr_R13,astr_01,astr_R21,astr_R22,astr_R23,astr_02,astr_R31,astr_R32,astr_R33,astr_03,astr_TX,astr_TY,astr_TZ,astr_1
0.59888484,-0.378185712,0.705912541,0,0.773208812,0.043533029,-0.632655521,0,0.208530768,0.924705598,0.318487796,0,-11.22122387,-3.505611488,1.444275778,1
0.592894249,-0.380980941,0.709457492,0,0.779108557,0.04860225,-0.625002142,0,0.203632674,0.923304578,0.325641506,0,-11.18793814,-3.50087191,1.329624207,1
0.586938158,-0.383784833,0.712890455,0,0.784881573,0.053669124,-0.617317213,0,0.198656777,0.921861609,0.3327261,0,-11.15367056,-3.495745514,1.215926745,1
0.581019747,-0.386594956,0.716212534,0,0.790527129,0.058732417,-0.609604267,0,0.193605042,0.920377555,0.339738494,0,-11.11844887,-3.490245565,1.103217057,1
0.575138345,-0.389417006,0.719423574,0,0.796046503,0.063791576,-0.60186427,0,0.188483018,0.918849841,0.346683027,0,-11.08232012,-3.484322624,0.991464467,1
0.569296824,-0.392250127,0.722524023,0,0.801439141,0.068845817,-0.594100629,0,0.183293291,0.917278633,0.35355831,0,-11.04531635,-3.477978844,0.880691538,1
0.563499809,-0.395090213,0.725514775,0,0.80670361,0.073894197,-0.586318116,0,0.178037218,0.915665535,0.360360067,0,-11.00746427,-3.471242439,0.770947548,1
0.557751883,-0.397933854,0.728396516,0,0.811838554,0.078936134,-0.578521606,0,0.172716527,0.91401189,0.367084822,0,-10.96879366,-3.464137798,0.662276739,1
0.549594327,-0.389509368,0.739072749,0,0.819284526,0.07819756,-0.568029935,0,0.163459296,0.917696896,0.362095934,0,-10.88665958,-3.536677532,0.604517477,1
0.54120224,-0.381041722,0.74960479,0,0.826619457,0.077530176,-0.557395143,0,0.154273814,0.921301404,0.356936007,0,-10.80357086,-3.609055417,0.548227564,1
0.532583113,-0.372536673,0.759981352,0,0.833835794,0.076938609,-0.546624478,0,0.145165756,0.92482262,0.351610616,0,-10.71957748,-3.681240629,0.493443192,1
0.523744998,-0.364003165,0.770190154,0,0.840926182,0.076429047,-0.53572545,0,0.13614086,0.92825659,0.346129123,0,-10.63473331,-3.753184755,0.440175643,1
0.514696714,-0.355452426,0.780218472,0,0.847883403,0.076008664,-0.52470603,0,0.127204668,0.931598763,0.340503623,0,-10.54909465,-3.824828075,0.388418107,1
0.505446793,-0.346896363,0.790054715,0,0.854700966,0.075683334,-0.513574037,0,0.118362991,0.934844878,0.334746555,0,-10.46272163,-3.896104872,0.338155201,1
0.496004515,-0.33834736,0.799687805,0,0.861372578,0.0754588,-0.502337787,0,0.109621182,0.937990956,0.328871043,0,-10.37567489,-3.966948987,0.289365674,1
0.486380795,-0.329818807,0.809106468,0,0.86789185,0.075343147,-0.49100626,0,0.100982471,0.941032924,0.322892515,0,-10.2880053,-4.037298133,0.242013294,1
0.476587571,-0.321326417,0.818299225,0,0.87425274,0.075348253,-0.479588143,0,0.092446923,0.943966088,0.316830541,0,-10.19974455,-4.107089344,0.196028371,1
0.466636511,-0.312884091,0.82725686,0,0.880449542,0.075479922,-0.468093351,0,0.084017679,0.946787371,0.310700343,0,-10.11094891,-4.176256929,0.15137059,1
0.456539535,-0.304505087,0.835971474,0,0.886477021,0.075742572,-0.456532096,0,0.075697716,0.949494452,0.304516241,0,-10.02167633,-4.24473867,0.108001959,1
0.446308829,-0.296203047,0.844436015,0,0.892330339,0.076138987,-0.44491507,0,0.067490696,0.9520854,0.298292468,0,-9.931993098,-4.312467226,0.065883224,1
0.435956845,-0.287991506,0.852644429,0,0.898005217,0.076672045,-0.433252844,0,0.059399147,0.954558689,0.292043578,0,-9.84195983,-4.379379276,0.024967463,1
0.425496795,-0.279879941,0.860592642,0,0.903497751,0.077344889,-0.421556142,0,0.051422666,0.956914305,0.2857809,0,-9.751618671,-4.445443635,-0.014774825,1
0.41494026,-0.271880863,0.868277247,0,0.908805294,0.078161049,-0.409833855,0,0.043560521,0.959151525,0.279518933,0,-9.661006585,-4.510610755,-0.053409137,1
0.40429747,-0.264007773,0.875695981,0,0.913926187,0.079123397,-0.398093472,0,0.03581173,0.961269673,0.273273007,0,-9.570156212,-4.574824209,-0.091018551,1
0.393579556,-0.256270177,0.882848078,0,0.918858728,0.080233878,-0.386343323,0,0.028173946,0.963269496,0.267054503,0,-9.479093224,-4.638053862,-0.127657835,1
0.382796866,-0.248672368,0.889735136,0,0.923601857,0.081492357,-0.374591252,0,0.02064388,0.965153381,0.26086928,0,-9.38783461,-4.700298495,-0.163350187,1
0.371959567,-0.241219381,0.896358907,0,0.928154824,0.082899438,-0.362844741,0,0.013217534,0.966923417,0.254724171,0,-9.296392005,-4.76155402,-0.198128694,1
0.361076528,-0.233921195,0.902720674,0,0.932517577,0.084456366,-0.3511098,0,0.005891517,0.968580403,0.248630838,0,-9.204778887,-4.821785652,-0.232069128,1
0.362878988,-0.235107603,0.901689112,0,0.931830891,0.088266943,-0.351994514,0,0.003167245,0.967953182,0.251110746,0,-9.192655541,-4.818365954,-0.241178314,1
0.364718308,-0.236283391,0.900639059,0,0.931117796,0.092080583,-0.35290341,0,0.000453844,0.96731139,0.253591144,0,-9.18067757,-4.814893961,-0.250114287,1
0.366595981,-0.237448104,0.899569778,0,0.930377519,0.095898455,-0.353837757,0,-0.002249247,0.966654998,0.256072366,0,-9.168844191,-4.811376441,-0.258871109,1
0.368513263,-0.238608127,0.89847879,0,0.929609353,0.099723977,-0.354797941,0,-0.004942206,0.965982034,0.258561955,0,-9.157156985,-4.807781912,-0.26749629,1
0.370470861,-0.239768358,0.897364182,0,0.928812789,0.103559899,-0.355783854,0,-0.007625233,0.965290879,0.261065842,0,-9.145615646,-4.804085833,-0.276028958,1
0.372468672,-0.240930303,0.896225238,0,0.927987618,0.107407907,-0.35679479,0,-0.010299,0.964580806,0.263586418,0,-9.134213605,-4.800282176,-0.284487759,1
0.37450754,-0.242092582,0.895061609,0,0.927133221,0.111269754,-0.35783101,0,-0.012965052,0.963851764,0.266123437,0,-9.122940022,-4.796384026,-0.292867804,1
0.376587506,-0.243253837,0.893873269,0,0.926249242,0.115148757,-0.358891496,0,-0.015626662,0.963103491,0.268677265,0,-9.111767516,-4.792408733,-0.301175693,1
0.378707214,-0.244415304,0.892660072,0,0.925335857,0.119048239,-0.359973705,0,-0.018286527,0.962335012,0.271250672,0,-9.10066897,-4.788355907,-0.309443058,1
0.380866295,-0.245575868,0.891422099,0,0.924392825,0.122970365,-0.361076439,0,-0.020946841,0.961546038,0.273843837,0,-9.089624177,-4.784237032,-0.317676237,1
0.383060328,-0.246727159,0.890163184,0,0.923421716,0.126906347,-0.362197616,0,-0.02360337,0.960739553,0.276446003,0,-9.078653033,-4.780079793,-0.325814762,1
0.385287521,-0.247860993,0.888886075,0,0.922423047,0.130849932,-0.363337333,0,-0.02625353,0.959918342,0.279047538,0,-9.067770071,-4.775919405,-0.333793561,1
0.387549653,-0.248975972,0.887590126,0,0.921395768,0.134802333,-0.364497146,0,-0.028898189,0.959082529,0.281648004,0,-9.056972479,-4.7717681,-0.341599773,1
0.389846118,-0.250071726,0.886275429,0,0.920339881,0.138761916,-0.365676953,0,-0.03153581,0.958232363,0.284246777,0,-9.046270011,-4.767623,-0.349228954,1
0.392176438,-0.251147909,0.884942015,0,0.919255341,0.142727419,-0.366876684,0,-0.034165178,0.957368065,0.286843388,0,-9.035670254,-4.76348248,-0.356677519,1
0.394541238,-0.252207533,0.883588463,0,0.91814166,0.1466988,-0.368096935,0,-0.036784547,0.956488799,0.289440969,0,-9.025188239,-4.759326307,-0.36396164,1
0.396937825,-0.253249038,0.882216123,0,0.91699986,0.150671363,-0.369336429,0,-0.039390611,0.95559566,0.292036496,0,-9.014842556,-4.75515166,-0.371067931,1
0.399365732,-0.254270812,0.880825389,0,0.915829941,0.154643672,-0.37059527,0,-0.041982513,0.954689315,0.294628206,0,-9.004638376,-4.7509653,-0.377983176,1
0.401824469,-0.255270538,0.87941688,0,0.914631917,0.158614117,-0.371873659,0,-0.044559542,0.953770682,0.297213615,0,-8.994579683,-4.746778519,-0.384688977,1
0.40431595,-0.25624885,0.877989259,0,0.913404737,0.162583288,-0.373173499,0,-0.047121101,0.952839547,0.29979393,0,-8.984676211,-4.742588762,-0.391181129,1
0.403722925,-0.255870165,0.878372506,0,0.913441317,0.166579985,-0.371316669,0,-0.051310421,0.95225079,0.300974539,0,-8.951573688,-4.74659139,-0.408279693,1
0.403150933,-0.255496768,0.878743835,0,0.913449732,0.170571557,-0.369479269,0,-0.055487945,0.951644233,0.302149537,0,-8.918546179,-4.750409854,-0.425201807,1
0.402600276,-0.255129929,0.879102802,0,0.913429978,0.174559875,-0.367660883,0,-0.05965478,0.951019227,0.303321179,0,-8.885586167,-4.75404027,-0.441964966,1
0.402070011,-0.254768982,0.879450096,0,0.913382817,0.178541956,-0.365861449,0,-0.063808592,0.950376523,0.304487977,0,-8.852711302,-4.757479561,-0.458560306,1
0.401555509,-0.254406181,0.879790127,0,0.913310878,0.182507603,-0.364079958,0,-0.067944196,0.949720206,0.305638865,0,-8.819952329,-4.760756287,-0.474923213,1
0.401053291,-0.25403206,0.880127247,0,0.91321549,0.186457924,-0.362313278,0,-0.072067511,0.949052767,0.306765576,0,-8.787251001,-4.763938733,-0.491019522,1
0.400561284,-0.253644868,0.880462912,0,0.913097682,0.190392367,-0.360559801,0,-0.076179274,0.94837494,0.307866352,0,-8.754596405,-4.767037963,-0.50684775,1
0.400077385,-0.253242694,0.880798628,0,0.912958472,0.194310301,-0.358817968,0,-0.080280218,0.947687525,0.30893922,0,-8.721977521,-4.770065956,-0.522404682,1
0.399598993,-0.252824283,0.88113593,0,0.912799015,0.198211947,-0.357085398,0,-0.084371809,0.946990975,0.309983051,0,-8.689375537,-4.773032302,-0.537697437,1
0.399122641,-0.252387426,0.881477002,0,0.912620869,0.202096171,-0.355359378,0,-0.088454888,0.946286281,0.310995189,0,-8.656774208,-4.775949947,-0.55272525,1
0.398647165,-0.251931551,0.881822505,0,0.91242461,0.205962855,-0.353639129,0,-0.092529827,0.945573792,0.311975055,0,-8.624167984,-4.778823025,-0.56748894,1
0.398171664,-0.251456394,0.88217289,0,0.912210701,0.209812011,-0.351924079,0,-0.096596909,0.944853746,0.312922411,0,-8.59155274,-4.781653875,-0.581990307,1
0.397694002,-0.250959262,0.882529847,0,0.911979913,0.213644311,-0.35021243,0,-0.100658428,0.944126876,0.313834867,0,-8.558903668,-4.784462815,-0.59622467,1
0.397211249,-0.250435841,0.882895868,0,0.911733091,0.217461543,-0.348501433,0,-0.104718648,0.943394068,0.314708815,0,-8.526176603,-4.787283549,-0.610185162,1
0.396722202,-0.249884299,0.883271947,0,0.91147073,0.221262925,-0.346790754,0,-0.10877777,0.942656117,0.315542139,0,-8.493366717,-4.790127127,-0.623860286,1
0.396227703,-0.249307992,0.883656683,0,0.911193237,0.225043745,-0.345082887,0,-0.112829487,0.941913392,0.316336322,0,-8.460530476,-4.792961617,-0.637245324,1
0.395726891,-0.248706112,0.884050619,0,0.910901406,0.228800762,-0.343378566,0,-0.116871107,0.941167085,0.317089361,0,-8.42768892,-4.795786927,-0.650323482,1
0.395218846,-0.24807345,0.884455554,0,0.910595299,0.232535307,-0.341677528,0,-0.12090602,0.940418468,0.317796853,0,-8.394810888,-4.798642266,-0.663068716,1
0.394707239,-0.247409801,0.884869813,0,0.910273607,0.236247197,-0.339984149,0,-0.124932603,0.939667841,0.318459091,0,-8.361921403,-4.801529822,-0.67545808,1
0.39420035,-0.246732011,0.885284925,0,0.909932987,0.239945052,-0.338302131,0,-0.128949772,0.938908774,0.319096019,0,-8.329054065,-4.804355202,-0.687597955,1
0.388814813,-0.244692925,0.888227681,0,0.911202334,0.244589102,-0.331491293,0,-0.136137237,0.938243862,0.31806463,0,-8.254094269,-4.834958837,-0.734367246,1
0.383438275,-0.242724079,0.891100505,0,0.912377633,0.249282742,-0.324692423,0,-0.143325308,0.937519672,0.317040565,0,-8.178788743,-4.864954652,-0.780817512,1
0.378063862,-0.240814359,0.8939106,0,0.913461943,0.254019765,-0.317901302,0,-0.150515762,0.936740307,0.316010446,0,-8.103103705,-4.89440215,-0.82689156,1
0.372688098,-0.238960949,0.896661166,0,0.914457656,0.258792758,-0.311116542,0,-0.157704712,0.935908101,0.31496865,0,-8.027063887,-4.923303801,-0.872564393,1
0.367313654,-0.237161288,0.899352658,0,0.915364203,0.263599615,-0.304341287,0,-0.164891043,0.935023939,0.313912691,0,-7.950688482,-4.951670281,-0.917805697,1
0.361944008,-0.235414389,0.901984812,0,0.916180196,0.268442221,-0.297577927,0,-0.172076681,0.934087169,0.312843054,0,-7.873972927,-4.979508433,-0.962609131,1
0.356581914,-0.233718151,0.904557994,0,0.916904292,0.273323087,-0.290828142,0,-0.179264768,0.933097163,0.311759245,0,-7.796899365,-5.006833079,-1.006965657,1
0.351235963,-0.232069833,0.907070499,0,0.917534893,0.278236417,-0.284102474,0,-0.186448432,0.93205584,0.310658805,0,-7.719556392,-5.033649535,-1.050804996,1
0.345908981,-0.230470395,0.909522058,0,0.918071398,0.283183137,-0.277402632,0,-0.193628215,0.930962249,0.309543868,0,-7.641949775,-5.059950265,-1.094136287,1
0.340601519,-0.22892128,0.911913183,0,0.918514021,0.288163707,-0.270728038,0,-0.200804875,0.929815425,0.308416402,0,-7.564076431,-5.085723354,-1.136980262,1
0.335313401,-0.22742445,0.91424452,0,0.918863406,0.293177556,-0.264077567,0,-0.207978279,0.928614581,0.307278369,0,-7.485938935,-5.110951654,-1.179360536,1
0.330042499,-0.225977799,0.916518403,0,0.919121405,0.298219933,-0.257450413,0,-0.215145979,0.92736126,0.306126284,0,-7.407554547,-5.13563838,-1.221263342,1
0.324790619,-0.224586761,0.918733825,0,0.919287584,0.303293308,-0.250845584,0,-0.222309223,0.926052891,0.304966642,0,-7.328919801,-5.159748074,-1.262740344,1
0.319562814,-0.223255473,0.920889028,0,0.919360187,0.308401391,-0.244265078,0,-0.229469942,0.924686745,0.303805809,0,-7.250035144,-5.183254877,-1.303826808,1
0.314361619,-0.221983478,0.922984349,0,0.919338858,0.313543693,-0.237710783,0,-0.236628055,0.923262524,0.30264414,0,-7.170911238,-5.206156797,-1.344519892,1
0.309189274,-0.220773208,0.925019558,0,0.919223795,0.318718755,-0.231183843,0,-0.243781883,0.921779554,0.301484407,0,-7.091572366,-5.228431623,-1.38483626,1
0.304047128,-0.219621971,0.926995973,0,0.919014845,0.323926158,-0.224685467,0,-0.250932379,0.920238031,0.300324669,0,-7.012016308,-5.250091861,-1.424761674,1
0.298937005,-0.218526555,0.928914857,0,0.918711257,0.329167054,-0.218217039,0,-0.258081949,0.918637684,0.29916302,0,-6.932229106,-5.271155066,-1.464281614,1
0.293861366,-0.217491761,0.930775393,0,0.918314064,0.334437613,-0.211779986,0,-0.265225898,0.91697809,0.298004036,0,-6.852264101,-5.291580316,-1.503423844,1
0.288822308,-0.216531167,0.932574892,0,0.917824213,0.33973694,-0.205371679,0,-0.272360771,0.915255738,0.296861154,0,-6.772162521,-5.311272264,-1.542294849,1
0.280707456,-0.205240592,0.937592461,0,0.917278155,0.344889187,-0.199128688,0,-0.282496212,0.915929991,0.285075678,0,-6.673239786,-5.387330997,-1.541859021,1
0.272215567,-0.193992308,0.942478471,0,0.916709486,0.349997242,-0.192732063,0,-0.292476328,0.916443623,0.273109287,0,-6.573670612,-5.46173694,-1.539891904,1
0.263350294,-0.182780276,0.947226474,0,0.916123384,0.355034776,-0.186194129,0,-0.302265725,0.916810601,0.260947797,0,-6.473779436,-5.534524137,-1.536203773,1
0.254134222,-0.1715887,0.9518262,0,0.915502433,0.360032892,-0.179531645,0,-0.311883138,0.917024337,0.248586552,0,-6.373451977,-5.605835534,-1.530645066,1
0.244588836,-0.160402825,0.956267345,0,0.91483309,0.365010662,-0.172764677,0,-0.321335834,0.917081322,0.236019345,0,-6.27267592,-5.675781466,-1.523037005,1
0.234693153,-0.149191255,0.960552494,0,0.914112671,0.369974253,-0.165882722,0,-0.33063144,0.916984744,0.223208041,0,-6.171280446,-5.744555133,-1.513123551,1
0.224436828,-0.137901905,0.964681903,0,0.913326594,0.374951653,-0.158889242,0,-0.339797945,0.916730234,0.210102437,0,-6.068934055,-5.812472775,-1.500486091,1
0.213835175,-0.126529709,0.968640672,0,0.912461833,0.379960538,-0.151800502,0,-0.348837958,0.91630793,0.196702458,0,-5.965632527,-5.87954706,-1.484985554,1
0.202912816,-0.115080674,0.972410833,0,0.911507294,0.385011473,-0.144639619,0,-0.357744102,0.915708799,0.183020636,0,-5.861496965,-5.945719114,-1.466536774,1
0.191707135,-0.10359113,0.975969903,0,0.910452096,0.390115288,-0.137430139,0,-0.366504237,0.914920182,0.169102646,0,-5.756752028,-6.010763676,-1.445304076,1
0.180218802,-0.092140376,0.979301452,0,0.909302903,0.395259054,-0.130148037,0,-0.375085876,0.913936777,0.155016624,0,-5.65168774,-6.074221351,-1.421852909,1
0.168425036,-0.080753114,0.98240111,0,0.908072626,0.400414943,-0.122767992,0,-0.383454187,0.912768759,0.140769594,0,-5.546528817,-6.135950089,-1.396317797,1
0.156333977,-0.069496654,0.985256262,0,0.906772019,0.405556914,-0.115273997,0,-0.391566332,0.911424053,0.126419947,0,-5.441704677,-6.195599001,-1.369177797,1
0.143967243,-0.058356083,0.987860314,0,0.905388758,0.410700331,-0.107686744,0,-0.399430382,0.909900987,0.111962336,0,-5.337213686,-6.253284549,-1.340288727,1
0.131322951,-0.047315604,0.990209834,0,0.90391852,0.415848122,-0.10000824,0,-0.40704495,0.908202385,0.097379854,0,-5.233046252,-6.309113906,-1.30949344,1
0.118417109,-0.036382014,0.992297202,0,0.90234529,0.421026932,-0.092245865,0,-0.414427756,0.906318196,0.082685931,0,-5.129076003,-6.363080035,-1.276842557,1
0.1052647,-0.025520169,0.994116725,0,0.900653733,0.426257168,-0.084425589,0,-0.421594824,0.904241974,0.067854668,0,-5.025185584,-6.415373263,-1.241999669,1
0.091906487,-0.014707775,0.995659017,0,0.898828593,0.431556028,-0.076593441,0,-0.428556132,0.901966228,0.052882567,0,-4.921415065,-6.466103905,-1.204700428,1
0.078395642,-0.004010071,0.99691426,0,0.896868062,0.436919069,-0.06877068,0,-0.435295075,0.899491882,0.037849056,0,-4.818132708,-6.514960992,-1.165449991,1
0.064744769,0.006532916,0.997880472,0,0.894771372,0.442345112,-0.060950756,0,-0.441805735,0.896821121,0.022794066,0,-4.715446754,-6.561769318,-1.124588623,1
0.05013825,0.017662136,0.998586103,0,0.894158631,0.444631084,-0.05275928,0,-0.444934263,0.895539641,0.006500274,0,-4.634994424,-6.60272449,-1.069150354,1
0.035222164,0.028780875,0.998964995,0,0.893419136,0.447026478,-0.044379902,0,-0.447841095,0.894057599,-0.009968145,0,-4.554373474,-6.642445875,-1.011483387,1
0.020059379,0.039861963,0.999003826,0,0.892572301,0.449476307,-0.035857174,0,-0.450457888,0.892402417,-0.026563469,0,-4.474497768,-6.680817924,-0.951741746,1
0.00472707,0.050910087,0.998692054,0,0.891645188,0.451913584,-0.027257481,0,-0.452710186,0.890607812,-0.043257507,0,-4.396425813,-6.717873723,-0.889844244,1
-0.010711673,0.061946585,0.998021984,0,0.890669788,0.454268645,-0.018636691,0,-0.454524574,0.888708399,-0.060039929,0,-4.32116115,-6.753716233,-0.825616987,1
